BEGAIN,PI15,TFPI2,VGF=>CRH,DUSP4,MID1,NAV2,SPRY2;1.0;1.0;5.0
C20orf103,C6orf176,PDE7B,SPRY4=>BEGAIN,LGR5,PI15,PRKCA,RAMP1;1.0;1.0;5.0
CRH,LGR5,MID1,PPP1R16B,SPRY2,SPRY4,TFPI2=>BEGAIN,C6orf176,FAM84B,NAV2;1.0;1.0;5.0
C6orf176,FAM84B,LGR5,NAV2,SPRY2=>BEGAIN,CRH,DUSP4,PPFIBP2,SPRY4;1.0;0.7142857142857143;5.0
C6orf176,CRH,FAM84B,PPP1R16B=>BEGAIN,DUSP4,LGR5,MID1,PPFIBP2,VGF;1.0;1.0;5.0
DUSP4,MID1,PPFIBP2,PPP1R16B,VGF=>BEGAIN,FAM84B,PI15,SPRY4,TFPI2;0.8333333333333334;0.8333333333333334;6.0
FAM84B,LGR5,MID1,PPFIBP2,PPP1R16B,VGF=>BEGAIN,CRH,DUSP4;1.0;0.5555555555555556;5.0
BEGAIN,FAM84B,LGR5,MID1,PI15,PPFIBP2=>C6orf176,CRH,DUSP4,NAV2,VGF;1.0;1.0;5.0
CRH,NAV2,PI15,SPRY2=>MID1,PPFIBP2,SPRY4,TFPI2,VGF;1.0;1.0;5.0
BEGAIN,C6orf176,CRH,MID1,NAV2,PI15=>DUSP4,FAM84B,LGR5,PPP1R16B,SPRY2,SPRY4;1.0;1.0;5.0
BEGAIN,DUSP4,LGR5,TFPI2=>C6orf176,MID1,NAV2,PPP1R16B,VGF;1.0;1.0;5.0
C6orf176,DUSP4,FAM84B,PI15,PPFIBP2,SPRY4,TFPI2=>CRH,LGR5,MID1,NAV2,SPRY2;1.0;1.0;5.0
LGR5,PPP1R16B,SPRY4=>BEGAIN,C6orf176,CRH,DUSP4,NAV2,PI15,SPRY2;1.0;1.0;5.0
BEGAIN,C6orf176,CRH,FAM84B,PPP1R16B,VGF=>DUSP4,LGR5,MID1,NAV2,PPFIBP2,SPRY4;1.0;1.0;5.0
C20orf103,LDHA,PGAM1=>BEGAIN,NME1,SPRY4;0.5555555555555556;0.45454545454545453;9.0
PPFIBP2=>DUSP4,LGR5,NAV2,SPRY2,TFPI2;0.13513513513513514;0.13513513513513514;37.0
DUSP4,MID1,PPP1R16B,SPRY2,TFPI2=>C6orf176,CRH,PI15,SPRY4;1.0;0.7142857142857143;5.0
C6orf176,DUSP4,FAM84B,PI15,PPFIBP2,VGF=>BEGAIN,NAV2,PPP1R16B;1.0;0.7142857142857143;5.0
